Category,Page URL,Page Title,Dynamic/Static,Notes
===========================================================================================================
OVERVIEW
===========================================================================================================
"Total Pages: 394"
"Static Pages: 27"
"Dynamic Pages: 367"
"Blog Posts: 50"
"Location Pages: 61 cities + 136 neighborhoods = 197"
"Service Pages: 15"
"Product Pages: 15"
"Story Pages: 33"
"Other Resource Pages: 84"
===========================================================================================================

CORE PAGES,,,
Core,/,Homepage,Static,Main landing page with AEO schemas
Core,/about,About Us,Static,Company info and team
Core,/contact,Contact,Static,Contact form and info
Core,/reviews,Reviews,Static,Customer testimonials
Core,/faq,FAQ,Static,General FAQs
Core,/process,Process,Static,How we work
Core,/warranty,Warranty,Static,Warranty information
Core,/financing,Financing,Static,PowerPay financing
Core,/emergency,Emergency,Static,24/7 emergency services

SERVICES,,,
Services,/services,Services Index,Static,All services overview
Services,/services/residential-roofing,Residential Roofing,Dynamic,
Services,/services/commercial-roofing,Commercial Roofing,Dynamic,
Services,/services/roof-repair,Roof Repair,Dynamic,
Services,/services/roof-replacement,Roof Replacement,Dynamic,
Services,/services/roof-inspection,Roof Inspection,Dynamic,
Services,/services/emergency-roofing,Emergency Roofing,Dynamic,
Services,/services/storm-damage,Storm Damage,Dynamic,
Services,/services/gutters,Gutters,Dynamic,
Services,/services/siding,Siding,Dynamic,
Services,/services/roof-maintenance,Roof Maintenance,Dynamic,
Services,/services/skylight-installation,Skylight Installation,Dynamic,
Services,/services/roof-ventilation,Roof Ventilation,Dynamic,
Services,/services/chimney-services,Chimney Services,Dynamic,
Services,/services/soffit-fascia,Soffit & Fascia,Dynamic,
Services,/services/flat-roof-repair,Flat Roof Repair,Dynamic,

LOCATIONS - CITIES (61 total),,,
Locations,/locations,Locations Index,Static,Service area overview
Locations,/locations/charlotte-nc,Charlotte NC,Dynamic,Primary market
Locations,/locations/huntersville-nc,Huntersville NC,Dynamic,
Locations,/locations/cornelius-nc,Cornelius NC,Dynamic,
Locations,/locations/davidson-nc,Davidson NC,Dynamic,
Locations,/locations/matthews-nc,Matthews NC,Dynamic,
Locations,/locations/mint-hill-nc,Mint Hill NC,Dynamic,
Locations,/locations/pineville-nc,Pineville NC,Dynamic,
Locations,/locations/concord-nc,Concord NC,Dynamic,
Locations,/locations/kannapolis-nc,Kannapolis NC,Dynamic,
Locations,/locations/harrisburg-nc,Harrisburg NC,Dynamic,
Locations,/locations/monroe-nc,Monroe NC,Dynamic,
Locations,/locations/indian-trail-nc,Indian Trail NC,Dynamic,
Locations,/locations/waxhaw-nc,Waxhaw NC,Dynamic,
Locations,/locations/stallings-nc,Stallings NC,Dynamic,
Locations,/locations/weddington-nc,Weddington NC,Dynamic,
Locations,/locations/marvin-nc,Marvin NC,Dynamic,
Locations,/locations/wesley-chapel-nc,Wesley Chapel NC,Dynamic,
Locations,/locations/gastonia-nc,Gastonia NC,Dynamic,
Locations,/locations/mt-holly-nc,Mt Holly NC,Dynamic,
Locations,/locations/belmont-nc,Belmont NC,Dynamic,
Locations,/locations/kings-mountain-nc,Kings Mountain NC,Dynamic,
Locations,/locations/mooresville-nc,Mooresville NC,Dynamic,
Locations,/locations/statesville-nc,Statesville NC,Dynamic,
Locations,/locations/denver-nc,Denver NC,Dynamic,
Locations,/locations/lincolnton-nc,Lincolnton NC,Dynamic,
Locations,/locations/lake-norman,Lake Norman NC,Dynamic,
Locations,/locations/sherrills-ford-nc,Sherrills Ford NC,Dynamic,
Locations,/locations/terrell-nc,Terrell NC,Dynamic,
Locations,/locations/hickory-nc,Hickory NC,Dynamic,
Locations,/locations/newton-nc,Newton NC,Dynamic,
Locations,/locations/albemarle-nc,Albemarle NC,Dynamic,
Locations,/locations/shelby-nc,Shelby NC,Dynamic,
Locations,/locations/rock-hill-sc,Rock Hill SC,Dynamic,
Locations,/locations/fort-mill-sc,Fort Mill SC,Dynamic,
Locations,/locations/tega-cay-sc,Tega Cay SC,Dynamic,
Locations,/locations/indian-land-sc,Indian Land SC,Dynamic,
Locations,/locations/lancaster-sc,Lancaster SC,Dynamic,
Locations,/locations/salisbury-nc,Salisbury NC,Dynamic,
Locations,/locations/china-grove-nc,China Grove NC,Dynamic,
Locations,/locations/landis-nc,Landis NC,Dynamic,
Locations,/locations/cramerton-nc,Cramerton NC,Dynamic,
Locations,/locations/lowell-nc,Lowell NC,Dynamic,
Locations,/locations/dallas-nc,Dallas NC,Dynamic,
Locations,/locations/cherryville-nc,Cherryville NC,Dynamic,
Locations,/locations/bessemer-city-nc,Bessemer City NC,Dynamic,
Locations,/locations/clover-sc,Clover SC,Dynamic,
Locations,/locations/york-sc,York SC,Dynamic,
Locations,/locations/lake-wylie-sc,Lake Wylie SC,Dynamic,
Locations,/locations/wingate-nc,Wingate NC,Dynamic,
Locations,/locations/fairview-nc,Fairview NC,Dynamic,
Locations,/locations/hemby-bridge-nc,Hemby Bridge NC,Dynamic,
